,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
709,HD 40956,b,[Fe/H],Radial Velocity,1,578.6,1.4,0.24,,,,,,,4869.0,2.0,8.56,1.35,1.664,3
710,HD 111591,b,[Fe/H],Radial Velocity,1,1056.4,2.5,0.26,,,,,,,4884.0,1.94,8.03,1.41,1.581,3
711,HD 113996,b,[Fe/H],Radial Velocity,1,610.2,1.6,0.28,,,,,,,4181.0,1.49,25.11,3.24,2.464,3
712,OGLE-2016-BLG-1190L,b,,Microlensing,1,1224.0,2.17,,41.2,13.38,,,,,,0.88,,,,3
713,OGLE-2016-BLG-0613L AB,b,,Microlensing,1,,6.4,,,4.18,,,,,,0.72,,,,3
714,WASP-67,b,[Fe/H],Transit,1,4.61442,,0.0,85.8,0.43,1.15,,,,5200.0,0.91,0.88,,,3
715,WASP-68,b,[Fe/H],Transit,1,5.0843,,0.0,88.1,1.08,1.32,,,,5910.0,1.49,1.79,,,3
716,WASP-22,b,[Fe/H],Transit,1,3.53269,,0.02,89.2,0.67,1.23,,,,6000.0,1.46,1.24,,,3
717,WASP-61,b,[Fe/H],Transit,1,3.8559,,0.0,89.35,2.68,1.41,,,,6250.0,1.82,1.55,,,3
718,WASP-101,b,[Fe/H],Transit,1,3.58572,,0.0,85.0,0.51,1.43,,,,6380.0,1.41,1.31,,,3
719,WASP-34,b,[Fe/H],Transit,1,4.31768,,0.04,85.2,0.56,1.0,,,,5700.0,0.96,0.91,,,3
720,WASP-25,b,[Fe/H],Transit,1,3.76483,,0.0,88.0,0.44,1.07,,,,5750.0,0.67,0.8,,,3
721,K2-38,b,[Fe/H],Transit,2,4.01593,,,87.28,0.06,0.17,,,,5757.0,2.24,1.38,,,3
722,WASP-17,b,[Fe/H],Transit,1,3.73543,,0.0,86.63,0.78,1.87,,,,6550.0,2.28,1.49,,,3
723,WASP-6,b,[Fe/H],Transit,1,3.36101,,0.05,88.47,0.37,1.03,,,,5450.0,0.55,0.73,,,3
724,WASP-72,b,[Fe/H],Transit,1,2.21673,,0.0,86.8,2.3,1.29,,,,6250.0,2.78,2.18,,,3
725,WASP-79,b,[Fe/H],Transit,1,3.66238,,0.0,85.4,0.85,1.67,,,,6600.0,1.43,1.6,,,3
726,WASP-66,b,[Fe/H],Transit,1,4.08605,,0.0,85.9,2.35,1.4,,,,6600.0,1.33,1.76,,,3
727,WASP-41,b,[Fe/H],Transit,2,3.0524,,0.0,89.4,0.85,1.1,,,,5545.0,0.81,0.83,,,3
728,WASP-15,b,[Fe/H],Transit,1,3.7521,,0.0,85.96,0.54,1.41,,,,6300.0,1.18,1.48,,,3
729,WASP-94 A,b,[Fe/H],Transit,1,3.95019,,0.0,88.7,0.5,1.58,,,,6170.0,1.67,1.48,,,3
730,CoRoT-9,b,[Fe/H],Transit,1,95.272656,0.4021,0.133,89.9,0.84,1.066,0.86,420.0,,5625.0,0.96,0.96,6.0,,3
731,Kepler-80,g,[M/H],Transit,6,14.64558,,,89.35,,0.101,,418.0,,4540.0,0.83,0.68,,,3
732,KOI-351,i,[M/H],Transit,8,14.44912,,,89.2,,0.118,,709.0,,6015.0,1.12,1.29,,,3
733,WASP-8,b,[Fe/H],Transit,2,8.15872,,0.31,88.55,2.54,1.13,,,,5600.0,1.34,1.03,,,3
734,WASP-63,b,[Fe/H],Transit,1,4.37808,,0.0,87.8,0.37,1.41,,,,5550.0,1.28,1.86,,,3
735,WASP-29,b,[Fe/H],Transit,1,3.92273,,0.03,88.8,0.23,0.77,,,,4800.0,0.77,0.79,,,3
736,WASP-117,b,[Fe/H],Transit,1,10.02165,,0.3,89.14,0.3,1.06,,,,6040.0,1.29,1.22,,,3
737,WASP-99,b,[Fe/H],Transit,1,5.75251,,0.0,88.8,2.43,1.02,,,,6150.0,1.21,1.64,,,3
738,KELT-15,b,[Fe/H],Transit,1,3.32944,,0.0,88.3,1.31,1.74,,,,6003.0,2.06,1.78,,,3
739,WASP-88,b,[Fe/H],Transit,1,4.954,,0.0,88.0,0.42,1.46,,,,6430.0,0.94,1.8,,,3
740,WASP-95,b,[Fe/H],Transit,1,2.18467,,0.0,88.4,1.44,1.23,,,,5830.0,1.46,1.23,,,3
741,WASP-97,b,[Fe/H],Transit,1,2.07276,,0.0,88.0,1.36,1.14,,,,5640.0,1.18,1.08,,,3
742,WASP-73,b,[Fe/H],Transit,1,4.08722,,0.0,87.4,2.86,1.42,,,,6030.0,2.52,2.55,,,3
743,WASP-100,b,[Fe/H],Transit,1,2.84938,,0.0,82.6,1.26,1.33,,,,6900.0,0.77,1.57,,,3
744,WASP-62,b,[Fe/H],Transit,1,4.41195,,0.0,88.3,0.52,1.32,,,,6230.0,1.11,1.23,,,3
745,HD 34445,b,[Fe/H],Radial Velocity,6,1049.0,2.07,0.27,,,,,,,5879.0,1.14,1.38,,,3
746,K2-66,b,[Fe/H],Transit,1,5.06963,0.05983,0.0,86.6,0.06702,0.222,7.8,1372.0,840.0,5887.0,1.11,1.67,,,3
747,K2-18,c,,Radial Velocity,2,8.962,0.06,0.47,,,,,363.0,,3457.0,0.359,0.41,,,3
748,HD 176986,b,[Fe/H],Radial Velocity,2,6.4898,0.06296,0.066,,,,,,83.5,4931.0,0.789,0.78,4.3,-0.48,3
749,HD 176986,c,[Fe/H],Radial Velocity,2,16.8191,0.11878,0.111,,,,,,23.5,4931.0,0.789,0.78,4.3,-0.48,3
750,GJ 3942,b,[Fe/H],Radial Velocity,1,6.905,0.0608,0.121,,,,,590.0,,3867.0,0.63,0.61,,-1.12,3
751,PSR J2322-2650,b,,Pulsar Timing,1,0.322964,0.0102,0.0017,,,,1.84,,,,1.4,,,,3
752,HD 99492,b,[Fe/H],Radial Velocity,1,17.0431,0.12,0.25,,,,,,,4815.0,0.48,0.83,,,3
753,HD 102195,b,[Fe/H],Radial Velocity,1,4.11377,0.05,0.0,,,,,,,5301.0,0.76,0.82,,,3
754,HD 102329,b,[Fe/H],Radial Velocity,2,778.09998,1.81,0.21,,,,,,,4745.0,3.21,9.82,,,3
755,HD 171028,b,[Fe/H],Radial Velocity,1,550.0,1.32,0.59,,,,,,,5671.0,1.53,2.47,,,3
756,HD 31253,b,[Fe/H],Radial Velocity,1,466.0,1.26,0.3,,,,,,,6130.0,1.7,1.75,,,3
757,NGC 2682 Sand 364,b,[Fe/H],Radial Velocity,1,121.71,0.53,0.35,,,,,,,4284.0,9.06,39.59,,,3
758,HD 89307,b,[Fe/H],Radial Velocity,1,2166.0,3.27,0.2,,,,,,,5955.0,1.27,1.1,,,3
759,HD 106252,b,[Fe/H],Radial Velocity,1,1531.0,2.61,0.48,,,,,,,5874.0,1.01,1.1,,,3
760,HD 102272,b,[Fe/H],Radial Velocity,1,127.58,0.51,0.05,,,,,,,4790.0,1.45,10.3,,,3
761,HD 170469,b,[Fe/H],Radial Velocity,1,1145.0,2.24,0.11,,,,,,,5842.0,1.1,1.24,,,3
762,HD 183263,b,[Fe/H],Radial Velocity,2,626.51599,1.49,0.36,,,,,,,5948.0,1.31,1.23,,,3
763,BD+14 4559,b,[Fe/H],Radial Velocity,1,268.94,0.78,0.29,,,,,,,4864.0,0.49,0.86,,,3
764,OGLE-2014-BLG-1722L,b,,Microlensing,2,,1.9,,,0.17399,,,,,,0.4,,,,3
765,GJ 1148,c,,Radial Velocity,2,532.58,0.912,0.342,,,,,,,,,,,,3
766,GJ 1148,b,,Radial Velocity,2,41.38,0.166,0.38,,,,,,,,,,,,3
767,HATS-50,b,,Transit,1,3.8297015,0.05046,0.516,87.54,0.39,1.13,0.33,,,5990.0,1.168,1.12,1.2,0.143,3
768,HATS-51,b,,Transit,1,3.3488702,0.04639,0.33,87.1,0.768,1.41,0.34,1553.0,,5758.0,1.187,1.44,4.74,0.31,3
769,HATS-52,b,,Transit,1,1.36665436,0.02498,0.246,84.7,2.24,1.382,1.06,1834.0,,6010.0,1.111,1.05,1.2,0.068,3
770,HATS-53,b,,Transit,1,3.8537768,0.04753,0.33,88.78,0.595,1.34,0.303,1312.0,,5644.0,0.964,1.1,9.0,0.045,3
771,K2-138,b,[Fe/H],Transit,5,2.35322,0.0338,0.403,86.9,,0.14,,,486.0,5378.0,0.93,0.86,,,3
772,K2-138,c,[Fe/H],Transit,5,3.55987,0.04454,0.296,87.5,,0.225,,,279.0,5378.0,0.93,0.86,,,3
773,K2-138,d,[Fe/H],Transit,5,5.40478,0.05883,0.348,87.9,,0.237,,,160.0,5378.0,0.93,0.86,,,3
774,K2-138,e,[Fe/H],Transit,5,8.26144,0.07807,0.315,88.7,,0.294,,,91.1,5378.0,0.93,0.86,,,3
775,HD 4203,b,[Fe/H],Radial Velocity,2,431.88,1.17,0.52,,,,,,,5596.0,1.25,1.42,,,3
776,HD 5891,b,[Fe/H],Radial Velocity,1,177.11,0.64,0.07,,,,,,,4673.0,1.93,10.64,,,3
777,HD 285507,b,[Fe/H],Radial Velocity,1,6.0881,0.06,0.09,,,,,,,4503.0,0.82,0.69,,,3
778,HD 24040,b,[Fe/H],Radial Velocity,1,3668.0,4.92,0.04,,,,,,,5802.0,1.11,1.3,,,3
779,Pr0201,b,[Fe/H],Radial Velocity,1,4.4264,0.06,0.0,,,,,,,6174.0,1.24,1.15,,,3
780,HD 81040,b,[Fe/H],Radial Velocity,1,1001.70001,1.94,0.53,,,,,,,5755.0,1.05,0.91,,,3
781,BD+20 2457,b,[Fe/H],Radial Velocity,2,379.63,1.05,0.15,,,,,,,4259.0,10.83,71.02,,,3
782,HD 100655,b,[Fe/H],Radial Velocity,1,157.57001,0.68,0.09,,,,,,,4891.0,2.28,10.06,,,3
783,HD 114762,b,[Fe/H],Radial Velocity,1,83.9151,0.36,0.34,,,,,,,5869.0,0.8,1.2,,,3
784,HD 142245,b,[Fe/H],Radial Velocity,1,1299.0,2.78,0.0,,,,,,,4922.0,3.5,4.63,,,3
785,HD 195019,b,[Fe/H],Radial Velocity,1,18.20132,0.14,0.01,,,,,,,5751.0,1.21,1.48,,,3
786,HD 8574,b,[Fe/H],Radial Velocity,1,227.0,0.76,0.3,,,,,,,6064.0,1.34,1.38,,,3
787,HD 12661,b,[Fe/H],Radial Velocity,2,262.70862,0.84,0.38,,,,,,,5645.0,1.2,1.2,,,3
788,30 Ari B,b,[Fe/H],Radial Velocity,1,335.10001,0.99,0.29,,,,,,,6331.0,1.93,1.41,,,3
789,HD 108874,b,[Fe/H],Radial Velocity,2,394.48123,1.04,0.13,,,,,,,5600.0,1.1,1.05,,,3
790,HD 116029,b,[Fe/H],Radial Velocity,2,670.0,1.65,0.0,,,,,,,4819.0,0.83,4.89,,,3
791,HD 145457,b,[Fe/H],Radial Velocity,1,176.3,0.76,0.11,,,,,,,4769.0,1.23,10.52,,,3
792,OGLE-2014-BLG-1722L,c,,Microlensing,2,,2.5,,,0.26335,,,,,,0.4,,,,3
793,GJ 1132,b,,Transit,2,1.628931,0.0153,0.22,,0.00522,0.101,6.3,529.0,,3270.0,0.181,0.21,,-2.359,3
794,GJ 1132,c,,Radial Velocity,2,8.929,0.0476,0.27,,,,,300.0,,3270.0,0.181,0.21,,-2.359,3
795,WASP-47,b,[M/H],Transit,4,4.1591289,,,88.98,1.14243,1.127,0.993,,,5552.0,1.04,1.14,,,3
796,WASP-47,c,[M/H],Radial Velocity,4,588.5,1.393,0.296,,,,,,,5552.0,1.04,1.14,,,3
797,WASP-47,d,[M/H],Transit,4,9.03077,,0.014,89.32,0.04122,0.319,1.58,,,5552.0,1.04,1.14,,,3
798,WASP-47,e,[M/H],Transit,4,0.789592,,,85.98,0.02149,0.161,6.35,,,5552.0,1.04,1.14,,,3
799,HAT-P-11,b,[Fe/H],Transit,2,4.88780244,0.05254,0.218,,,0.389,,,,4780.0,0.809,0.68,6.5,,3
800,K2-132,b,[Fe/H],Transit,1,9.1751,,,,0.49,1.3,,,,4840.0,1.08,3.85,8.5,,3
801,K2-138,f,[Fe/H],Transit,5,12.75759,0.1043,0.364,89.03,,0.251,,,51.0,5378.0,0.93,0.86,,,3
802,KELT-19 A,b,[Fe/H],Transit,1,4.6117093,0.0637,,85.41,4.07,1.91,0.744,1935.0,2340.0,7500.0,1.62,1.83,,0.978,3
803,K2-141,b,[Fe/H],Transit,2,0.2803244,,0.0,86.3,0.01598,0.135,8.2,,,4599.0,0.708,0.68,6.3,-0.75,3
804,K2-141,c,[Fe/H],Transit,2,7.7485,,0.0,87.2,0.02328,0.624,,,,4599.0,0.708,0.68,6.3,-0.75,3
805,HD 158038,b,[Fe/H],Radial Velocity,1,521.0,1.5,0.29,,,,,,,4860.0,1.3,4.5,,,3
806,HD 177830,b,[Fe/H],Radial Velocity,2,410.10001,1.14,0.1,,,,,,,4901.0,1.7,3.26,,,3
807,HD 190360,b,[Fe/H],Radial Velocity,2,2915.03687,3.97,0.31,,,,,,,5552.0,0.99,1.14,,,3
808,HD 13189,b,[Fe/H],Radial Velocity,1,471.60001,1.25,0.27,,,,,,,4175.0,2.24,38.41,,,3
809,HD 82886,b,[Fe/H],Radial Velocity,1,705.0,1.58,0.07,,,,,,,4953.0,2.53,5.26,,,3
810,HD 87883,b,[Fe/H],Radial Velocity,1,2754.0,3.58,0.53,,,,,,,4915.0,0.66,0.79,,,3
811,HIP 57274,b,[Fe/H],Radial Velocity,3,8.1352,0.07,0.19,,,,,,,4510.0,0.29,0.78,,,3
812,HD 155358,b,[Fe/H],Radial Velocity,2,194.3,0.63,0.17,,,,,,,5905.0,1.15,1.38,,,3
813,HD 178911 B,b,[Fe/H],Radial Velocity,1,71.484,0.34,0.11,,,,,,,5588.0,1.24,1.08,,,3
814,HD 180314,b,[Fe/H],Radial Velocity,1,396.03,1.46,0.26,,,,,,,4924.0,2.2,8.13,,,3
815,HD 16175,b,[Fe/H],Radial Velocity,1,990.0,2.12,0.6,,,,,,,5981.0,1.63,1.72,,,3
816,HD 13931,b,[Fe/H],Radial Velocity,1,4218.0,5.15,0.02,,,,,,,5867.0,1.3,1.25,,,3
817,HD 23596,b,[Fe/H],Radial Velocity,1,1561.0,2.77,0.27,,,,,,,6040.0,1.47,1.53,,,3
818,HD 40979,b,[Fe/H],Radial Velocity,1,264.14999,0.85,0.25,,,,,,,6165.0,1.45,1.21,,,3
819,HD 49674,b,[Fe/H],Radial Velocity,1,4.94737,0.06,0.09,,,,,,,5602.0,1.03,1.02,,,3
820,HD 95127,b,[Fe/H],Radial Velocity,1,482.0,1.28,0.11,,,,,,,4218.0,3.7,41.01,,,3
821,HD 96127,b,[Fe/H],Radial Velocity,1,647.29999,1.42,0.3,,,,,,,3943.0,10.94,51.1,,,3
822,HAT-P-11,c,[Fe/H],Radial Velocity,2,3407.0,4.13,0.601,,,,,,,4780.0,0.809,0.68,6.5,,3
823,K2-241,b,[Fe/H],Transit,1,26.8199,0.1567,,,,0.227,,507.0,,5262.0,0.71,0.75,,,3
824,K2-242,b,[Fe/H],Transit,1,6.51389,0.0494,,,,0.227,,416.0,,3459.0,0.38,0.37,,,3
825,K2-156,b,[Fe/H],Transit,1,0.81314,0.0149,,,,0.103,,1347.0,,4597.0,0.66,0.66,,,3
826,K2-152,b,[Fe/H],Transit,1,32.6479,0.1716,,,,0.204,,337.0,,4044.0,0.63,0.61,,,3
827,K2-158,c,[Fe/H],Transit,2,5.90279,0.0622,,,,0.114,,948.0,,5503.0,0.92,0.95,,,3
828,K2-158,b,[Fe/H],Transit,2,10.06049,0.0887,,,,0.236,,794.0,,5503.0,0.92,0.95,,,3
829,WASP-151,b,[Fe/H],Transit,1,4.533471,0.055,0.003,89.2,0.31,1.13,0.29,1290.0,460.0,5871.0,1.077,1.14,5.1,,3
830,WASP-153,b,[Fe/H],Transit,1,3.332609,0.048,0.009,84.1,0.39,1.55,0.15,1700.0,1400.0,5914.0,1.336,1.73,4.0,,3
831,WASP-156,b,[Fe/H],Transit,1,3.836169,0.0453,0.007,89.1,0.128,0.51,1.3,970.0,150.0,4910.0,0.842,0.76,6.4,,3
832,OGLE-2013-BLG-0132L,b,,Microlensing,1,,3.6,,,0.29,,,,,,0.54,,,,3
833,OGLE-2013-BLG-1721L,b,,Microlensing,1,,2.6,,,0.64,,,,,,0.46,,,,3
834,HD 34445,c,[Fe/H],Radial Velocity,6,214.67,0.7181,0.036,,,,,,,5836.0,1.07,1.38,8.5,0.303,3
835,HD 34445,d,[Fe/H],Radial Velocity,6,117.87,0.4817,0.027,,,,,,,5836.0,1.07,1.38,8.5,0.303,3
836,HD 34445,e,[Fe/H],Radial Velocity,6,49.175,0.2687,0.09,,,,,,,5836.0,1.07,1.38,8.5,0.303,3
837,HD 34445,f,[Fe/H],Radial Velocity,6,676.8,1.543,0.031,,,,,,,5836.0,1.07,1.38,8.5,0.303,3
838,HD 34445,g,[Fe/H],Radial Velocity,6,5700.0,6.36,0.032,,,,,,,5836.0,1.07,1.38,8.5,0.303,3
839,HD 238914,b,[Fe/H],Radial Velocity,1,4100.0,5.7,0.56,,,,,,,4769.0,1.47,12.73,,1.85,3
840,TYC 3318-01333-1,b,[Fe/H],Radial Velocity,1,562.0,1.414,0.098,,,,,,,4776.0,1.19,5.9,,1.21,3
841,BD+48 740,b,[Fe/H],Radial Velocity,1,733.0,1.7,0.76,,,,,,,4534.0,1.09,10.33,,1.64,3
842,K2-147,b,[Fe/H],Transit,1,0.961917,0.0159,,,,0.123,,,200.1,3672.0,0.583,0.55,,-1.292,3
843,K2-148,b,[Fe/H],Transit,3,4.38395,0.0454,,,,0.119,,,48.8,4079.0,0.65,0.63,,-0.996,3
844,HD 136418,b,[Fe/H],Radial Velocity,1,464.29999,1.29,0.25,,,,,,,4989.0,1.48,3.78,,,3
845,14 Her,b,[Fe/H],Radial Velocity,1,1773.40002,2.93,0.37,,,,,,,5338.0,0.9,0.93,,,3
846,HD 216536,b,[Fe/H],Radial Velocity,1,148.60001,0.61,0.38,,,,,,,4639.0,0.81,9.83,,,3
847,HD 17092,b,[Fe/H],Radial Velocity,1,359.89999,1.31,0.17,,,,,,,4326.0,6.73,13.58,,,3
848,XO-2 S,b,[Fe/H],Radial Velocity,2,18.157,0.13,0.18,,,,,,,5399.0,0.98,1.0,,,3
849,HD 154345,b,[Fe/H],Radial Velocity,1,3341.55884,4.21,0.04,,,,,,,5468.0,0.71,0.85,,,3
850,16 Cyg B,b,[Fe/H],Radial Velocity,1,798.5,1.66,0.68,,,,,,,5750.0,1.08,1.13,,,3
851,HD 222155,b,[Fe/H],Radial Velocity,1,3999.0,5.14,0.16,,,,,,,5701.0,1.21,1.85,,,3
852,HD 2952,b,[Fe/H],Radial Velocity,1,311.60001,1.23,0.13,,,,,,,4844.0,1.97,10.76,,,3
853,HD 118203,b,[Fe/H],Radial Velocity,1,6.1335,0.07,0.31,,,,,,,5864.0,1.84,2.06,,,3
854,HD 132406,b,[Fe/H],Radial Velocity,1,974.0,1.98,0.34,,,,,,,5783.0,1.03,1.34,,,3
855,HD 240237,b,[Fe/H],Radial Velocity,1,745.70001,1.92,0.4,,,,,,,3926.0,8.76,71.23,,,3
856,HD 68988,b,[Fe/H],Radial Velocity,1,6.27711,0.07,0.12,,,,,,,5932.0,1.28,1.19,,,3
857,HD 156279,b,[Fe/H],Radial Velocity,2,131.05,0.49,0.71,,,,,,,5453.0,0.95,0.95,,,3
858,HIP 91258,b,[Fe/H],Radial Velocity,1,5.0505,0.06,0.02,,,,,,,5519.0,0.97,0.89,,,3
859,HD 220074,b,[Fe/H],Radial Velocity,1,672.09998,1.6,0.14,,,,,,,3787.0,2.2,54.92,,,3
860,HD 11755,b,[Fe/H],Radial Velocity,1,433.70001,1.09,0.19,,,,,,,4312.0,0.72,20.58,,,3
861,HD 24064,b,[Fe/H],Radial Velocity,1,535.59998,1.29,0.35,,,,,,,4052.0,1.61,40.0,,,3
862,HD 109246,b,[Fe/H],Radial Velocity,1,68.27,0.33,0.12,,,,,,,5844.0,1.2,1.07,,,3
863,11 UMi,b,[Fe/H],Radial Velocity,1,516.21997,1.53,0.08,,,,,,,4213.0,2.78,29.79,,,3
864,8 UMi,b,[Fe/H],Radial Velocity,1,93.4,0.49,0.06,,,,,,,4847.0,1.44,10.3,,,3
865,GJ 687,b,[Fe/H],Radial Velocity,1,38.14,0.17,0.04,,,,,,,3340.0,0.45,0.43,,,3
866,K2-243,b,[Fe/H],Transit,2,11.54182,0.1087,,,,0.194,,1035.0,,6570.0,1.29,1.39,,,3
867,K2-243,c,[Fe/H],Transit,2,24.94598,0.1817,,,,0.179,,801.0,,6570.0,1.29,1.39,,,3
868,K2-244,b,[Fe/H],Transit,1,21.06884,0.1418,,,,0.156,,638.0,,5677.0,0.86,0.92,,,3
869,K2-159,b,[Fe/H],Transit,1,12.42205,0.1013,,,,0.202,,684.0,,5425.0,0.9,0.83,,,3
870,K2-245,b,[Fe/H],Transit,1,11.89307,0.0959,,,,0.387,,923.0,,5793.0,0.83,1.25,,,3
871,K2-246,b,[Fe/H],Transit,1,5.76918,0.0602,,,,0.311,,977.0,,5610.0,0.87,0.94,,,3
872,K2-162,b,[Fe/H],Transit,1,9.45889,0.0795,,,,0.128,,631.0,,4842.0,0.75,0.69,,,3
873,EPIC 211822797,b,,Transit,1,21.169861,0.131,0.06,89.73,,0.177,,,3.5,4148.21,0.6635,0.57,,,3
874,K2-104,b,,Transit,1,1.974238,0.023,0.09,88.0,,0.175,,,62.1,3546.46,0.4265,0.49,,,3
875,K2-21,b,,Transit,2,9.325038,0.076,0.1,88.98,,0.164,,,10.0,4222.06,0.676,0.65,,,3
876,K2-21,c,,Transit,2,15.50192,0.107,0.21,88.85,,0.222,,,5.1,4222.06,0.676,0.65,,,3
877,K2-148,c,[Fe/H],Transit,3,6.9226,0.0616,,,,0.154,,,26.5,4079.0,0.65,0.63,,-0.996,3
878,K2-148,d,[Fe/H],Transit,3,9.7579,0.0774,,,,0.146,,,16.8,4079.0,0.65,0.63,,-0.996,3
879,K2-149,b,[Fe/H],Transit,1,11.332,0.083,,,,0.146,,,7.0,3745.0,0.595,0.57,,-1.31,3
880,K2-150,b,[Fe/H],Transit,1,10.59357,0.0727,,,,0.178,,,4.9,3499.0,0.457,0.44,,-1.585,3
881,HD 7924,b,[Fe/H],Radial Velocity,3,5.39792,0.06,0.06,,,,,,,5131.0,0.65,0.78,,,3
882,HD 12648,b,[Fe/H],Radial Velocity,1,133.60001,0.54,0.04,,,,,,,4835.0,0.67,11.02,,,3
883,HD 2638,b,[Fe/H],Radial Velocity,1,3.4442,0.04,0.0,,,,,,,5186.0,0.77,0.94,,,3
884,HD 16141,b,[Fe/H],Radial Velocity,1,75.523,0.36,0.25,,,,,,,5757.0,1.11,1.48,,,3
885,HD 30562,b,[Fe/H],Radial Velocity,1,1157.0,2.34,0.76,,,,,,,5882.0,1.12,1.61,,,3
886,HD 290327,b,[Fe/H],Radial Velocity,1,2443.0,3.43,0.08,,,,,,,5505.0,0.84,0.95,,,3
887,HD 72659,b,[Fe/H],Radial Velocity,1,3658.0,4.75,0.22,,,,,,,5932.0,1.43,1.46,,,3
888,HD 99109,b,[Fe/H],Radial Velocity,1,439.29999,1.11,0.09,,,,,,,5282.0,0.76,0.98,,,3
889,HD 100777,b,[Fe/H],Radial Velocity,1,383.70001,1.03,0.36,,,,,,,5533.0,0.83,1.04,,,3
890,HD 126614,b,[Fe/H],Radial Velocity,1,1244.0,2.37,0.41,,,,,,,5568.0,1.26,1.32,,,3
891,HD 192263,b,[Fe/H],Radial Velocity,1,24.3556,0.15,0.05,,,,,,,4976.0,0.66,0.74,,,3
892,GJ 849,b,[Fe/H],Radial Velocity,1,1882.0,2.35,0.04,,,,,,,3241.0,0.65,0.53,,,3
893,HD 217107,b,[Fe/H],Radial Velocity,2,7.12682,0.08,0.13,,,,,,,5622.0,1.0,1.11,,,3
894,HD 218566,b,[Fe/H],Radial Velocity,1,225.7,0.69,0.3,,,,,,,4730.0,0.76,0.85,,,3
895,HD 222582,b,[Fe/H],Radial Velocity,1,572.38,1.34,0.73,,,,,,,5790.0,1.12,1.13,,,3
896,HD 1690,b,[Fe/H],Radial Velocity,1,533.0,1.36,0.64,,,,,,,4374.0,1.86,21.66,,,3
897,K2-153,b,[Fe/H],Transit,1,7.51574,0.0614,,,,0.178,,497.0,,3845.0,0.55,0.53,,,3
898,K2-166,b,[Fe/H],Transit,2,8.52695,0.0858,,,,0.195,,1140.0,,5960.0,1.16,1.61,,,3
899,K2-223,b,[Fe/H],Transit,2,0.50565,0.0127,,,,0.079,,2271.0,,5835.0,1.06,0.99,,,3
900,K2-223,c,[Fe/H],Transit,2,4.56327,0.0549,,,,0.14,,1091.0,,5835.0,1.06,0.99,,,3
901,K2-247,b,[Fe/H],Transit,2,2.25021,0.0304,,,,0.189,,979.0,,4667.0,0.74,0.69,,,3
902,K2-35,b,,Transit,2,5.608352,0.055,0.12,88.58,,0.172,,,68.0,4402.71,0.702,0.62,,,3
903,K2-35,c,,Transit,2,2.399964,0.031,0.13,88.98,,0.118,,,211.0,4402.71,0.702,0.62,,,3
904,K2-4,b,,Transit,1,10.003417,0.078,0.08,89.54,,0.187,,,15.6,4014.73,0.635,0.57,,,3
905,KELT-21,b,[Fe/H],Transit,1,3.6127647,0.05224,0.0,86.46,3.91,1.586,1.24,2051.0,2950.0,7598.0,1.458,1.64,1.6,0.905,3
906,HD 215152,b,[Fe/H],Radial Velocity,4,5.75999,0.057638,0.0,,,,,,,4935.0,0.77,0.73,,,3
907,HD 215152,c,[Fe/H],Radial Velocity,4,7.28243,0.067393,0.0,,,,,,,4935.0,0.77,0.73,,,3
908,HD 215152,d,[Fe/H],Radial Velocity,4,10.86499,0.08799,0.0,,,,,,,4935.0,0.77,0.73,,,3
909,HD 6718,b,[Fe/H],Radial Velocity,1,2496.0,3.55,0.1,,,,,,,5801.0,1.08,0.95,,,3
910,HD 28185,b,[Fe/H],Radial Velocity,1,379.0,1.02,0.05,,,,,,,5662.0,1.02,1.03,,,3
911,HD 33844,b,[Fe/H],Radial Velocity,2,551.40002,1.6,0.15,,,,,,,4861.0,1.84,5.39,,,3
912,BD-13 2130,b,[Fe/H],Radial Velocity,1,714.29999,1.66,0.21,,,,,,,4545.0,2.12,19.17,,,3
913,BD-08 2823,b,[Fe/H],Radial Velocity,2,5.6,0.06,0.15,,,,,,,4816.0,0.5,0.71,,,3
914,BD-10 3166,b,[Fe/H],Radial Velocity,1,3.48777,0.04,0.02,,,,,,,5393.0,1.47,0.91,,,3
915,HD 148427,b,[Fe/H],Radial Velocity,1,331.5,1.04,0.16,,,,,,,5025.0,1.64,3.86,,,3
916,HD 168746,b,[Fe/H],Radial Velocity,1,6.404,0.07,0.11,,,,,,,5570.0,1.07,1.09,,,3
917,HD 210277,b,[Fe/H],Radial Velocity,1,442.19,1.13,0.48,,,,,,,5538.0,1.01,1.07,,,3
918,HD 95872,b,[Fe/H],Radial Velocity,1,4375.0,5.15,0.06,,,,,,,5312.0,0.7,0.84,,,3
919,HD 104067,b,[Fe/H],Radial Velocity,1,55.806,0.26,0.0,,,,,,,4937.0,0.62,0.74,,,3
920,HD 141937,b,[Fe/H],Radial Velocity,1,653.21997,1.5,0.41,,,,,,,5870.0,1.09,1.03,,,3
921,HD 156846,b,[Fe/H],Radial Velocity,1,359.51001,1.12,0.85,,,,,,,6090.0,1.38,1.9,,,3
922,HD 204941,b,[Fe/H],Radial Velocity,1,1733.0,2.55,0.37,,,,,,,5026.0,0.58,0.78,,,3
923,HD 204313,b,[Fe/H],Radial Velocity,2,1920.09998,3.07,0.23,,,,,,,5783.0,1.03,1.1,,,3
