,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
279,K2-174,b,[Fe/H],Transit,1,19.562307,0.126,,89.95,,0.232,,455.0,,4455.0,0.7,0.68,,,3
280,K2-87,b,[Fe/H],Transit,1,9.726618,0.094,,87.74,,0.678,,979.0,,5747.0,1.164,1.4,,,3
281,K2-90,b,[Fe/H],Transit,2,13.733314,0.096,,89.24,,0.232,,502.0,,4484.0,0.629,0.62,,,3
282,K2-124,b,[Fe/H],Transit,1,6.413651,0.049,,89.03,,0.259,,442.0,,3570.0,0.39,0.39,,,3
283,HD 202772 A,b,[Fe/H],Transit,1,3.308958,0.05208,0.038,84.51,1.017,1.545,0.343,2132.0,3440.0,6272.0,1.72,2.59,1.7,0.971,3
284,K2-292,b,[Fe/H],Transit,1,16.9841,0.13,0.04,88.4,0.07709,0.235,7.4,795.0,67.0,5725.0,1.0,1.09,6.8,,3
285,WASP-145 A,b,,Transit,1,1.7690381,0.0261,0.0,83.3,0.89,0.9,1.6,1200.0,,4900.0,0.76,0.68,6.99,,3
286,WASP-158,b,,Transit,1,3.656333,0.0517,0.0,87.7,2.79,1.07,3.1,1590.0,,6350.0,1.38,1.39,1.93,,3
287,WASP-159,b,,Transit,1,3.840401,0.0538,0.0,88.1,0.55,1.38,0.28,1850.0,,6120.0,1.41,2.11,3.4,,3
288,WASP-162,b,,Transit,1,9.62468,0.0871,0.434,89.3,5.2,1.0,6.9,910.0,,5300.0,0.95,1.11,12.97,,3
289,WASP-168,b,,Transit,1,4.153658,0.0519,0.0,84.4,0.42,1.5,0.16,1340.0,,6000.0,1.08,1.12,3.96,,3
290,WASP-172,b,,Transit,1,5.477433,0.0694,0.0,86.7,0.47,1.57,0.16,1740.0,,6900.0,1.49,1.91,1.79,,3
291,WASP-173 A,b,,Transit,1,1.38665318,0.0248,0.0,85.2,3.69,1.2,2.84,1880.0,,5800.0,1.05,1.11,6.78,,3
292,OGLE-2011-BLG-0173L,b,,Microlensing,1,,8.0,,,0.19,,,,,,0.41,,,,3
293,WASP-147,b,[Fe/H],Transit,1,4.60273,0.0549,0.0,87.9,0.275,1.115,0.263,1404.0,,5702.0,1.044,1.43,8.47,,3
294,HD 20003,b,[Fe/H],Radial Velocity,2,11.8482,0.0974,0.36,,,,,,,5494.0,0.875,,,-0.143,3
295,HD 20003,c,[Fe/H],Radial Velocity,2,33.9239,0.1964,0.1,,,,,,,5494.0,0.875,,,-0.143,3
